VOTACIO,ELECCIO,ANY_VOTACIO,DISTRICTE,CODI_BARRI,NOM_BARRI,PARTIT,NOM_PARTIT,VOTS
M,Eleccions Municipals                    ,2007,1,18,VALLPARADIS                             ,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,9
M,Eleccions Municipals                    ,2007,1,19,ANTIC POBLE DE SANT PERE                ,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,1
M,Eleccions Municipals                    ,2007,1,19,ANTIC POBLE DE SANT PERE                ,CIU            ,CONVERGÈNCIA I UNIÓ                               ,96
M,Eleccions Municipals                    ,2007,1,19,ANTIC POBLE DE SANT PERE                ,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,9
M,Eleccions Municipals                    ,2007,1,19,ANTIC POBLE DE SANT PERE                ,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,29
M,Eleccions Municipals                    ,2007,1,19,ANTIC POBLE DE SANT PERE                ,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,17
M,Eleccions Municipals                    ,2007,1,19,ANTIC POBLE DE SANT PERE                ,PFIV           ,FAMÍLIA I VIDA                                    ,1
M,Eleccions Municipals                    ,2007,1,19,ANTIC POBLE DE SANT PERE                ,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,11
M,Eleccions Municipals                    ,2007,1,19,ANTIC POBLE DE SANT PERE                ,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,52
M,Eleccions Municipals                    ,2007,1,19,ANTIC POBLE DE SANT PERE                ,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,1
M,Eleccions Municipals                    ,2007,2,7,MONTSERRAT                              ,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,13
M,Eleccions Municipals                    ,2007,2,7,MONTSERRAT                              ,CIU            ,CONVERGÈNCIA I UNIÓ                               ,38
M,Eleccions Municipals                    ,2007,2,7,MONTSERRAT                              ,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,4
M,Eleccions Municipals                    ,2007,2,7,MONTSERRAT                              ,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,11
M,Eleccions Municipals                    ,2007,2,7,MONTSERRAT                              ,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,20
M,Eleccions Municipals                    ,2007,2,7,MONTSERRAT                              ,PFIV           ,FAMÍLIA I VIDA                                    ,0
M,Eleccions Municipals                    ,2007,2,7,MONTSERRAT                              ,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,29
M,Eleccions Municipals                    ,2007,2,7,MONTSERRAT                              ,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,194
M,Eleccions Municipals                    ,2007,2,7,MONTSERRAT                              ,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,1
M,Eleccions Municipals                    ,2007,2,8,VILARDELL                               ,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,8
M,Eleccions Municipals                    ,2007,2,8,VILARDELL                               ,CIU            ,CONVERGÈNCIA I UNIÓ                               ,97
M,Eleccions Municipals                    ,2007,2,8,VILARDELL                               ,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,0
M,Eleccions Municipals                    ,2007,2,8,VILARDELL                               ,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,4
M,Eleccions Municipals                    ,2007,2,8,VILARDELL                               ,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,18
M,Eleccions Municipals                    ,2007,2,8,VILARDELL                               ,PFIV           ,FAMÍLIA I VIDA                                    ,2
M,Eleccions Municipals                    ,2007,2,8,VILARDELL                               ,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,5
M,Eleccions Municipals                    ,2007,2,8,VILARDELL                               ,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,87
M,Eleccions Municipals                    ,2007,2,8,VILARDELL                               ,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,1
M,Eleccions Municipals                    ,2007,2,9,TORRE-SANA                              ,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,60
M,Eleccions Municipals                    ,2007,2,9,TORRE-SANA                              ,CIU            ,CONVERGÈNCIA I UNIÓ                               ,80
M,Eleccions Municipals                    ,2007,2,9,TORRE-SANA                              ,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,7
M,Eleccions Municipals                    ,2007,2,9,TORRE-SANA                              ,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,47
M,Eleccions Municipals                    ,2007,2,9,TORRE-SANA                              ,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,122
M,Eleccions Municipals                    ,2007,2,9,TORRE-SANA                              ,PFIV           ,FAMÍLIA I VIDA                                    ,7
M,Eleccions Municipals                    ,2007,2,9,TORRE-SANA                              ,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,79
M,Eleccions Municipals                    ,2007,2,9,TORRE-SANA                              ,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,524
M,Eleccions Municipals                    ,2007,2,9,TORRE-SANA                              ,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,2
M,Eleccions Municipals                    ,2007,2,14,CA N ANGLADA                            ,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,111
M,Eleccions Municipals                    ,2007,2,14,CA N ANGLADA                            ,CIU            ,CONVERGÈNCIA I UNIÓ                               ,404
M,Eleccions Municipals                    ,2007,2,14,CA N ANGLADA                            ,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,23
M,Eleccions Municipals                    ,2007,2,14,CA N ANGLADA                            ,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,121
M,Eleccions Municipals                    ,2007,2,14,CA N ANGLADA                            ,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,351
M,Eleccions Municipals                    ,2007,2,14,CA N ANGLADA                            ,PFIV           ,FAMÍLIA I VIDA                                    ,15
M,Eleccions Municipals                    ,2007,2,14,CA N ANGLADA                            ,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,460
M,Eleccions Municipals                    ,2007,2,14,CA N ANGLADA                            ,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,1783
M,Eleccions Municipals                    ,2007,2,14,CA N ANGLADA                            ,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,6
M,Eleccions Municipals                    ,2007,3,1,CAN PARELLADA                           ,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,106
